Min Row,Min Col,Max Row,Max Col,Centroid X,Centroid Y,Area
0,188,20,217,200.28,7.51,360.0
0,364,47,450,407.06,17.93,2812.0
0,509,27,532,519.52,13.52,397.0
0,544,17,561,551.93,6.82,211.0
0,579,8,596,587.0,2.78,98.0
0,605,45,668,631.67,24.14,1691.0
0,869,22,932,902.07,7.65,934.0
0,977,17,1002,987.3,6.12,282.0
0,1037,27,1081,1054.98,10.39,785.0
0,1193,33,1258,1223.34,12.68,1538.0
20,130,200,305,212.81,108.15,9193.0
25,1270,44,1295,1281.77,33.67,338.0
29,1010,45,1026,1017.66,36.66,174.0
32,702,118,817,744.03,76.56,4452.0
42,823,64,849,835.95,52.47,335.0
69,920,91,941,929.75,79.6,296.0
87,107,108,125,115.41,96.91,264.0
92,956,142,1028,993.87,118.25,2480.0
93,335,118,357,345.35,104.8,343.0
125,1026,184,1118,1072.24,154.67,3961.0
128,747,165,779,761.44,146.21,862.0
144,413,159,428,420.0,151.0,149.0
151,343,197,379,362.24,174.02,851.0
154,644,266,743,695.54,216.82,5986.0
155,1233,235,1320,1278.99,194.37,5274.0
185,553,204,582,566.38,193.63,347.0
189,275,284,351,310.95,233.09,2544.0
191,1,227,41,23.88,206.88,701.0
200,380,215,395,387.0,207.0,149.0
204,1079,240,1123,1100.66,222.39,1042.0
208,535,223,550,542.03,214.97,150.0
209,230,241,258,244.98,226.4,567.0
212,474,231,491,481.89,221.18,221.0
225,943,293,998,970.99,260.22,1971.0
227,909,262,946,927.0,243.97,898.0
250,151,290,189,170.0,269.81,811.0
257,227,275,245,235.67,265.38,224.0
259,1157,294,1198,1177.63,275.86,949.0
262,0,297,51,28.37,279.13,744.0
269,659,324,766,712.94,295.34,3371.0
270,72,320,125,100.84,292.4,1642.0
279,430,343,516,479.27,308.76,3067.0
284,574,323,618,595.51,304.89,1224.0
287,829,311,851,839.48,298.63,334.0
320,837,388,884,862.44,357.28,1911.0
321,1287,342,1312,1298.54,331.2,377.0
351,126,472,250,183.29,398.22,7757.0
355,296,402,339,317.66,377.07,1417.0
359,0,399,46,18.78,383.69,839.0
366,1159,394,1189,1172.53,379.67,568.0
391,746,410,763,753.84,399.81,234.0
409,44,425,61,52.0,416.8,184.0
413,1075,470,1138,1107.34,440.32,1941.0
416,904,512,1054,985.07,457.68,8752.0
433,1160,547,1243,1197.91,483.06,6198.0
435,60,468,93,76.05,450.54,811.0
448,14,463,30,21.5,455.0,164.0
459,810,541,874,841.0,495.94,3490.0
469,703,484,718,710.0,476.0,149.0
485,500,535,541,518.26,506.95,1263.0
500,1026,661,1133,1080.48,582.63,9606.0
503,235,520,253,243.51,511.24,203.0
529,757,552,778,767.65,539.49,343.0
533,938,601,1004,970.38,566.87,3307.0
536,658,609,761,700.38,574.11,4197.0
549,538,603,639,587.45,576.87,3071.0
560,123,587,155,138.68,572.65,563.0
570,843,594,868,854.55,580.62,433.0
571,28,593,55,40.99,581.58,390.0
593,756,692,847,797.85,635.33,3507.0
594,902,622,935,918.29,608.06,670.0
606,489,622,504,496.0,613.5,164.0
619,523,654,559,540.43,637.1,875.0
638,681,694,738,709.27,666.23,2182.0
642,1240,657,1256,1247.5,649.0,164.0
652,997,683,1023,1010.02,666.43,529.0
660,448,698,470,459.54,677.73,512.0
668,952,700,986,968.07,682.84,700.0
669,1143,845,1320,1233.92,754.05,16234.0
694,898,720,925,911.79,706.51,524.0
702,1108,746,1151,1129.23,724.19,1371.0
718,0,774,20,7.27,745.81,777.0
724,600,850,725,658.23,785.96,8359.0
742,836,784,891,866.23,762.8,914.0
743,61,805,119,90.02,776.29,1697.0
759,923,989,1159,1034.03,870.54,33000.0
761,292,780,310,300.17,769.84,229.0
789,733,889,836,786.27,839.29,7309.0
791,247,808,265,255.71,798.92,206.0
853,1166,989,1320,1255.05,903.17,10944.0
859,416,890,448,432.15,872.82,661.0
869,269,887,286,277.16,877.33,211.0
874,857,912,897,877.29,894.19,615.0
892,137,907,153,144.5,899.0,164.0
926,665,989,730,699.75,957.31,2642.0
929,801,989,853,825.62,959.22,2216.0
939,932,958,951,940.95,948.0,244.0
958,1209,989,1290,1248.77,976.86,1344.0
977,107,989,123,114.54,983.53,145.0
